request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay 15656000.0 today. This keeps the 24768300 minimum available over the next 90 days.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay 6670.0 today. This keeps the 20500 minimum available over the next 90 days.
request_28,400.09,affordable_later,wait,2024-07-16:1302.40,2024-07-16,none,"Wait until 2024-07-16, then pay 1302.4 in full. Paying sooner would put the 1100 minimum at risk."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay 51524.0 today. This keeps the 28300 minimum available over the next 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use installments to pay the amount over time. This leaves at least 900 available.
request_31,5365551.54,affordable_later,wait,2024-10-16:18164000,2024-10-16,none,"Wait until 2024-10-16, then pay 18164000.0 in full. Paying sooner would put the 16588900 minimum at risk."
request_32,17308.03,affordable_later,wait,2025-03-16:40018,2025-03-16,none,"Wait until 2025-03-16, then pay 40018.0 in full. Paying sooner would put the 35700 minimum at risk."
request_33,46085.69,affordable_later,wait,2026-02-16:118000,2026-02-16,none,"Wait until 2026-02-16, then pay 118000.0 in full. Paying sooner would put the 102100 minimum at risk."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay 129400.0 today. This keeps the 138500 minimum available over the next 90 days.
request_35,23474.84,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 106400 minimum protected.
request_36,418.97,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 2400 minimum protected.
request_37,6828914.15,affordable_later,wait,2024-03-16:14649000,2024-03-16,none,"Wait until 2024-03-16, then pay 14649000.0 in full. Paying sooner would put the 17056200 minimum at risk."
request_38,174.35,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 400 minimum protected.
request_39,75323.89,affordable_later,wait,2026-05-16:208600,2026-05-16,none,"Wait until 2026-05-16, then pay 208600.0 in full. Paying sooner would put the 213400 minimum at risk."
request_40,453.81,affordable_later,wait,2024-07-16:1290.30,2024-07-16,none,"Wait until 2024-07-16, then pay 1290.3 in full. Paying sooner would put the 1500 minimum at risk."
request_41,14621092.85,affordable_later,wait,2025-12-16:38760000,2025-12-16,none,"Wait until 2025-12-16, then pay 38760000.0 in full. Paying sooner would put the 25366600 minimum at risk."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay 52100.0 today. This keeps the 113100 minimum available over the next 90 days.
request_43,9659276.67,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 21398000 minimum protected.
request_44,42940.62,affordable_later,wait,2025-03-16:95800,2025-03-16,none,"Wait until 2025-03-16, then pay 95800.0 in full. Paying sooner would put the 82900 minimum at risk."
request_45,4901900.65,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the 11149800 minimum protected.
request_46,41246.75,affordable_with_plan,partial_payment,2024-12-03:41246.75|2024-12-16:8203.25,2024-12-16,none,Pay 41246.75 today and the remaining 8203.25 on 2024-12-16. This completes the full request and keeps the 84000 minimum protected.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay 38114000.0 today. This keeps the 30049000 minimum available over the next 90 days.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay 45700.0 today. This keeps the 71300 minimum available over the next 90 days.
request_49,14336932.32,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-16,none,Use installments to pay the amount over time. This leaves at least 20275700 available.
